accession,sample-name,longitude,latitude,geo-loc-name,studies,biome
ERS1972369,30-7_170506,-179.9998,87.5301,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972370,30-8_170427,-179.9998,87.5301,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972371,30-8_170506,-179.9998,87.5301,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972372,30-9_170427,-178.9268,87.5856,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972373,30-9_170506,-178.9268,87.5856,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972374,KD001_170322,-173.095,76.5357,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972375,KD001_170407,-173.095,76.5357,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972376,KD007_170322,-176.7614,88.4072,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972377,KD007_170407,-176.7614,88.4072,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972378,KD009_170322,-176.7614,88.4072,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972379,KD009_170407,-176.7614,88.4072,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972380,KD011_170322,-176.7614,88.4072,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972381,KD011_170407,-176.7614,88.4072,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972382,KD012_170322,-176.7614,88.4072,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972383,KD012_170407,-176.7614,88.4072,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972384,KD015_170322,-89.2525,89.9903,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972385,KD015_170407,-89.2525,89.9903,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972386,KD016_170322,-89.2525,89.9903,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972387,KD016_170407,-89.2525,89.9903,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972388,KD020_170322,-89.2525,89.9903,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972389,KD020_170407,-89.2525,89.9903,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972390,KD021_170322,-89.2525,89.9903,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972391,KD021_170407,-89.2525,89.9903,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972392,KD025_170322,-148.8943,87.772,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972393,KD025_170407,-148.8943,87.772,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972394,KD040_170322,-150.0,85.0,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972395,KD040_170407,-150.0,85.0,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972396,KD042_170322,-150.0,85.0,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972397,KD042_170407,-150.0,85.0,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972398,KD055_170322,-149.9723,85.1603,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972399,KD055_170407,-149.9723,85.1603,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972400,KD056_170322,-149.9723,85.1603,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972401,KD056_170407,-149.9723,85.1603,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972402,KD057_170322,-149.9723,85.1603,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972403,KD057_170407,-149.9723,85.1603,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972404,KD058_170322,-149.9723,85.1603,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972405,KD058_170407,-149.9723,85.1603,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972406,KD060A_170322,-149.9723,85.1603,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972407,KD060A_170407,-149.9723,85.1603,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972408,KD083_170322,-149.7905,82.5038,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972409,KD083_170407,-149.7905,82.5038,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972410,KD084_170322,-149.7905,82.5038,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972411,KD084_170407,-149.7905,82.5038,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972412,KD085_170322,-149.7905,82.5038,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972413,KD085_170407,-149.7905,82.5039,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972414,KD088_170322,-149.7905,82.5038,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972415,KD088_170407,-149.7905,82.5038,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972416,KD089_170322,-149.7905,82.5038,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972417,KD089_170407,-149.7905,82.5038,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972418,KD090_170322,-149.7905,82.5039,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972419,KD090_170407,-149.7905,82.5039,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972420,KD091_170322,-149.7905,82.5039,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972421,KD091_170407,-149.7905,82.5039,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972422,KD097_170322,-147.8611,78.1655,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972423,KD097_170407,-147.8611,78.1655,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972424,KD101_170322,-147.8711,77.4476,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972425,KD101_170407,-147.8711,77.4476,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972426,KD103_170322,-148.8366,77.0066,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972427,KD103_170407,-148.8366,77.0066,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972428,KD104_170322,-148.8366,77.0066,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972429,KD104_170407,-148.8366,77.0066,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972430,KD105_170322,-148.8366,77.0066,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972431,KD105_170407,-148.8366,77.0066,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972432,KD107_170322,-149.5091,76.5011,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972433,KD107_170407,-149.5091,76.5011,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972434,KD108.12005_170322,-149.5091,76.5011,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972435,KD108.12005_170407,-149.5091,76.5011,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972436,KD108.12012_170322,-149.5091,76.5011,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972437,KD108.12012_170407,-149.5091,76.5011,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972438,KD109_170322,-149.5091,76.5011,,"MGYS00000991,MGYS00002040",root:Environmental:Aquatic:Marine:Oceanic
ERS1972439,KD109_170407,-149.5091,76.5011,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972440,KD116_170322,-158.7448,72.9997,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972441,KD116_170407,-158.7448,72.9997,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972442,KD125_170322,-158.7448,72.9997,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972443,KD125_170407,-158.7448,72.9997,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972444,KD126_170322,-158.7448,72.9997,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972445,KD126_170407,-158.7448,72.9997,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972446,KD134_170322,-162.5408,72.0271,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS1972447,KD134_170407,-162.5408,72.0271,,MGYS00000991,root:Environmental:Aquatic:Marine:Oceanic
ERS3088410,metagenome_ArcMicro_MOSjICE_K1,11.1075,79.0517,,MGYS00003725,root:Environmental:Aquatic:Marine:Oceanic
ERS3088411,metagenome_ArcMicro_MOSjICE_K2,11.1075,79.0517,,MGYS00003725,root:Environmental:Aquatic:Marine:Oceanic
ERS3088412,metagenome_ArcMicro_MOSjICE_K4,11.1075,79.0517,,MGYS00003725,root:Environmental:Aquatic:Marine:Oceanic
ERS3088413,metagenome_ArcMicro_MOSjICE_R1,22.1527,80.1256,,MGYS00003725,root:Environmental:Aquatic:Marine:Oceanic
ERS3088414,metagenome_ArcMicro_MOSjICE_R2,22.1527,80.1256,,MGYS00003725,root:Environmental:Aquatic:Marine:Oceanic
ERS3088415,metagenome_ArcMicro_MOSjICE_R3,22.1527,80.1256,,MGYS00003725,root:Environmental:Aquatic:Marine:Oceanic
ERS3088416,metagenome_ArcMicro_MOSjICE_R10,21.85,81.5078,,MGYS00003725,root:Environmental:Aquatic:Marine:Oceanic
ERS3088417,metagenome_ArcMicro_MOSjICE_R11,21.85,81.5078,,MGYS00003725,root:Environmental:Aquatic:Marine:Oceanic
ERS3088418,metagenome_ArcMicro_MOSjICE_R12,21.85,81.5078,,MGYS00003725,root:Environmental:Aquatic:Marine:Oceanic
ERS3088419,metagenome_ArcMicro_MOSjICE_V2,7.7667,78.9068,,MGYS00003725,root:Environmental:Aquatic:Marine:Oceanic
ERS3088420,metagenome_ArcMicro_MOSjICE_V4,7.7667,78.9068,,MGYS00003725,root:Environmental:Aquatic:Marine:Oceanic
ERS3088421,metagenome_ArcMicro_MOSjICE_V6,7.7667,78.9068,,MGYS00003725,root:Environmental:Aquatic:Marine:Oceanic
ERS3088422,metagenome_ArcMicro_MOSjICE_V7,9.485,78.9753,,MGYS00003725,root:Environmental:Aquatic:Marine:Oceanic
ERS3088423,metagenome_ArcMicro_MOSjICE_V8,9.485,78.9753,,MGYS00003725,root:Environmental:Aquatic:Marine:Oceanic
ERS3088424,metagenome_ArcMicro_MOSjICE_V9,9.485,78.9753,,MGYS00003725,root:Environmental:Aquatic:Marine:Oceanic
ERS3757522,LH1,-90.211,79.0767,,"MGYS00005148,MGYS00005295",root:Environmental:Aquatic:Sediment
ERS3757523,LH2,-90.2122,79.0764,,"MGYS00005148,MGYS00005295",root:Environmental:Aquatic:Sediment
ERS396648,ENA SRA sample ERS396648; run ERR414817,18.0167,78.9,Norway,MGYS00000379,root:Environmental:Aquatic:Freshwater
ERS401803,2,18.0167,78.9,Norway,MGYS00000366,root:Environmental:Aquatic:Freshwater:Lake
ERS667520,OSD146_2014-06-21_5m_NPL022,-2.8297,78.4533,,"MGYS00000462,MGYS00001977",root:Environmental:Aquatic:Marine
ERS667580,OSD80_2014-06-21_2m_NPL022,-20.3043,74.31,,"MGYS00000462,MGYS00001977",root:Environmental:Aquatic:Marine
ERS667582,OSD80_2014-06-21_0m_NPL022,-20.3043,74.31,,"MGYS00000462,MGYS00001977",root:Environmental:Aquatic:Marine
ERS903619,Iron mat 1,6.0,71.0,Norway,MGYS00001488,root:Environmental:Aquatic:Marine:Hydrothermal vents:Microbial mats
ERS903620,Iron mat 1,6.0,71.0,Norway,MGYS00001488,root:Environmental:Aquatic:Marine:Hydrothermal vents:Microbial mats
ERS903621,Iron mat 1,6.0,71.0,Norway,MGYS00001488,root:Environmental:Aquatic:Marine:Hydrothermal vents:Microbial mats
ERS903622,Iron mat 1,6.0,71.0,Norway,MGYS00001488,root:Environmental:Aquatic:Marine:Hydrothermal vents:Microbial mats
ERS903623,Iron mat 1,6.0,71.0,Norway,MGYS00001488,root:Environmental:Aquatic:Marine:Hydrothermal vents:Microbial mats
ERS903624,Iron mat 2,6.0,71.0,Norway,MGYS00001488,root:Environmental:Aquatic:Marine:Hydrothermal vents:Microbial mats
ERS903625,Iron mat 2,6.0,71.0,Norway,MGYS00001488,root:Environmental:Aquatic:Marine:Hydrothermal vents:Microbial mats
ERS903626,Iron mat 2,6.0,71.0,Norway,MGYS00001488,root:Environmental:Aquatic:Marine:Hydrothermal vents:Microbial mats
ERS903627,Iron mat 2,6.0,71.0,Norway,MGYS00001488,root:Environmental:Aquatic:Marine:Hydrothermal vents:Microbial mats
ERS903628,Reference seawater sample,6.0,71.0,Norway,MGYS00001488,root:Environmental:Aquatic:Marine:Hydrothermal vents:Microbial mats
ERS903629,Iron mat 3,6.0,71.0,Norway,MGYS00001488,root:Environmental:Aquatic:Marine:Hydrothermal vents:Microbial mats
ERS903630,Iron mat 3,6.0,71.0,Norway,MGYS00001488,root:Environmental:Aquatic:Marine:Hydrothermal vents:Microbial mats
ERS903631,Iron mat 3,6.0,71.0,Norway,MGYS00001488,root:Environmental:Aquatic:Marine:Hydrothermal vents:Microbial mats
ERS903632,Iron mat 3,6.0,71.0,Norway,MGYS00001488,root:Environmental:Aquatic:Marine:Hydrothermal vents:Microbial mats
ERS903633,Iron mat 4,6.0,71.0,Norway,MGYS00001488,root:Environmental:Aquatic:Marine:Hydrothermal vents:Microbial mats
ERS903634,Iron mat 4,6.0,71.0,Norway,MGYS00001488,root:Environmental:Aquatic:Marine:Hydrothermal vents:Microbial mats
ERS903635,Iron mat 4,6.0,71.0,Norway,MGYS00001488,root:Environmental:Aquatic:Marine:Hydrothermal vents:Microbial mats
ERS903636,Iron mat 4,6.0,71.0,Norway,MGYS00001488,root:Environmental:Aquatic:Marine:Hydrothermal vents:Microbial mats
ERS903637,Iron mat 4,6.0,71.0,Norway,MGYS00001488,root:Environmental:Aquatic:Marine:Hydrothermal vents:Microbial mats
ERS903638,Iron mat 4,6.0,71.0,Norway,MGYS00001488,root:Environmental:Aquatic:Marine:Hydrothermal vents:Microbial mats
ERS903639,Iron mat 5,6.0,71.0,Norway,MGYS00001488,root:Environmental:Aquatic:Marine:Hydrothermal vents:Microbial mats
ERS956387,snow metagenome,12.4746,79.0136,Svalbard,MGYS00001622,root:Environmental:Aquatic:Freshwater:Ice:Glacier
ERS956388,snow metagenome,12.4746,79.0136,Svalbard,MGYS00001622,root:Environmental:Aquatic:Freshwater:Ice:Glacier
ERS956389,snow metagenome,12.4746,79.0136,Svalbard,MGYS00001622,root:Environmental:Aquatic:Freshwater:Ice:Glacier
ERS956390,snow metagenome,12.4746,79.0136,Svalbard,MGYS00001622,root:Environmental:Aquatic:Freshwater:Ice:Glacier
ERS956391,snow metagenome,12.4746,79.0136,Svalbard,MGYS00001622,root:Environmental:Aquatic:Freshwater:Ice:Glacier
ERS956392,snow metagenome,12.4746,79.0136,Svalbard,MGYS00001622,root:Environmental:Aquatic:Freshwater:Ice:Glacier
ERS956539,snow metagenome,12.4746,79.0136,Svalbard,MGYS00001622,root:Environmental:Aquatic:Freshwater:Ice:Glacier
ERS956540,snow metagenome,12.4746,79.0136,Svalbard,MGYS00001622,root:Environmental:Aquatic:Freshwater:Ice:Glacier
SRS1345691,Chukchi Sea,-164.53,72.47,Arctic Ocean: Chukchi Sea,MGYS00002714,root:Environmental:Aquatic:Marine
